X;Y;Type;Name;Y2;Type2;axis;axis-2
30/11/2019;1;column;A;-0,701;line;0;1
30/11/2019;6;column;B;6;area;0;0
30/11/2019;-10;column;C;10;area;0;0
30/11/2019;-2;column;D;2;area;0;0
30/11/2019;-7;column;E;7;area;0;0
30/11/2019;-2;column;F;2;area;0;0
30/11/2019;-5;column;G;5;area;0;0
30/11/2019;-10;column;H;10;area;0;0
30/11/2019;8;column;I;8;area;0;0
31/12/2019;7;column;A;0,82;line;0;1
31/12/2019;-4;column;B;4;area;0;0
31/12/2019;-2;column;C;2;area;0;0
31/12/2019;9;column;D;9;area;0;0
31/12/2019;1;column;E;1;area;0;0
31/12/2019;-3;column;F;3;area;0;0
31/12/2019;-3;column;G;3;area;0;0
31/12/2019;-8;column;H;8;area;0;0
31/12/2019;-3;column;I;3;area;0;0
31/12/2019;8;column;J;8;marker;0;1
31/01/2020;-7;column;A;0,04;line;0;1
31/01/2020;0;column;B;0;area;0;0
31/01/2020;-9;column;C;9;area;0;0
31/01/2020;9;column;D;9;area;0;0
31/01/2020;-6;column;E;6;area;0;0
31/01/2020;6;column;F;6;area;0;0
31/01/2020;-1;column;G;1;area;0;0
31/01/2020;7;column;H;7;area;0;0
31/01/2020;9;column;I;9;area;0;0
31/01/2020;-9;column;J;9;marker;0;1
29/02/2020;6;column;A;0,708;line;0;1
29/02/2020;-9;column;B;9;area;0;0
29/02/2020;-8;column;C;8;area;0;0
29/02/2020;5;column;D;5;area;0;0
29/02/2020;5;column;E;5;area;0;0
29/02/2020;3;column;F;3;area;0;0
29/02/2020;5;column;G;5;area;0;0
29/02/2020;-4;column;H;4;area;0;0
29/02/2020;-6;column;I;6;area;0;0
29/02/2020;-5;column;J;5;marker;0;1
31/03/2020;-1;column;A;0,663;line;0;1
31/03/2020;3;column;B;3;area;0;0
31/03/2020;-9;column;C;9;area;0;0
31/03/2020;-5;column;D;5;area;0;0
31/03/2020;-6;column;E;6;area;0;0
31/03/2020;-1;column;F;1;area;0;0
31/03/2020;5;column;G;5;area;0;0
31/03/2020;-6;column;H;6;area;0;0
31/03/2020;8;column;I;8;area;0;0
31/03/2020;-2;column;J;2;marker;0;1
30/04/2020;-6;column;A;0,204;line;0;1
30/04/2020;7;column;B;7;area;0;0
30/04/2020;-1;column;C;1;area;0;0
30/04/2020;-5;column;D;5;area;0;0
30/04/2020;5;column;E;5;area;0;0
30/04/2020;6;column;F;6;area;0;0
30/04/2020;9;column;G;9;area;0;0
30/04/2020;6;column;H;6;area;0;0
30/04/2020;-4;column;I;4;area;0;0
30/04/2020;2;column;J;2;marker;0;1
31/05/2020;-8;column;A;-0,342;line;0;1
31/05/2020;-9;column;B;9;area;0;0
31/05/2020;6;column;C;6;area;0;0
31/05/2020;-1;column;D;1;area;0;0
31/05/2020;-6;column;E;6;area;0;0
31/05/2020;7;column;F;7;area;0;0
31/05/2020;9;column;G;9;area;0;0
31/05/2020;-5;column;H;5;area;0;0
31/05/2020;-6;column;I;6;area;0;0
31/05/2020;-8;column;J;8;marker;0;1
30/06/2020;-6;column;A;0,299;line;0;1
30/06/2020;2;column;B;2;area;0;0
30/06/2020;1;column;C;1;area;0;0
30/06/2020;7;column;D;7;area;0;0
30/06/2020;7;column;E;7;area;0;0
30/06/2020;2;column;F;2;area;0;0
30/06/2020;-6;column;G;6;area;0;0
30/06/2020;8;column;H;8;area;0;0
30/06/2020;7;column;I;7;area;0;0
30/06/2020;-4;column;J;4;marker;0;1
31/07/2020;1;column;A;0,847;line;0;1
31/07/2020;-5;column;B;5;area;0;0
31/07/2020;-10;column;C;10;area;0;0
31/07/2020;-6;column;D;6;area;0;0
31/07/2020;6;column;E;6;area;0;0
31/07/2020;10;column;F;10;area;0;0
31/07/2020;-5;column;G;5;area;0;0
31/07/2020;7;column;H;7;area;0;0
31/07/2020;-5;column;I;5;area;0;0
31/07/2020;-8;column;J;8;marker;0;1
31/08/2020;0;column;A;-0,069;line;0;1
31/08/2020;-6;column;B;6;area;0;0
31/08/2020;6;column;C;6;area;0;0
31/08/2020;3;column;D;3;area;0;0
31/08/2020;9;column;E;9;area;0;0
31/08/2020;7;column;F;7;area;0;0
31/08/2020;4;column;G;4;area;0;0
31/08/2020;-3;column;H;3;area;0;0
31/08/2020;7;column;I;7;area;0;0
31/08/2020;-6;column;J;6;marker;0;1
30/09/2020;-9;column;A;-0,344;line;0;1
30/09/2020;-8;column;B;8;area;0;0
30/09/2020;-10;column;C;10;area;0;0
30/09/2020;0;column;D;0;area;0;0
30/09/2020;-9;column;E;9;area;0;0
30/09/2020;1;column;F;1;area;0;0
30/09/2020;3;column;G;3;area;0;0
30/09/2020;8;column;H;8;area;0;0
30/09/2020;-2;column;I;2;area;0;0
30/09/2020;-2;column;J;2;marker;0;1
31/10/2020;-8;column;A;0,189;line;0;1
31/10/2020;3;column;B;3;area;0;0
31/10/2020;10;column;C;10;area;0;0
31/10/2020;1;column;D;1;area;0;0
31/10/2020;-8;column;E;8;area;0;0
31/10/2020;7;column;F;7;area;0;0
31/10/2020;-9;column;G;9;area;0;0
31/10/2020;-3;column;H;3;area;0;0
31/10/2020;-9;column;I;9;area;0;0
31/10/2020;1;column;J;1;marker;0;1
30/11/2020;-1;column;A;-0,984;line;0;1
30/11/2020;0;column;B;0;area;0;0
30/11/2020;-3;column;C;3;area;0;0
30/11/2020;-2;column;D;2;area;0;0
30/11/2020;-1;column;E;1;area;0;0
30/11/2020;3;column;F;3;area;0;0
30/11/2020;-2;column;G;2;area;0;0
30/11/2020;1;column;H;1;area;0;0
30/11/2020;9;column;I;9;area;0;0
30/11/2020;-6;column;J;6;marker;0;1
31/12/2020;6;column;A;0,367;line;0;1
31/12/2020;8;column;B;8;area;0;0
31/12/2020;-4;column;C;4;area;0;0
31/12/2020;-4;column;D;4;area;0;0
31/12/2020;9;column;E;9;area;0;0
31/12/2020;-4;column;F;4;area;0;0
31/12/2020;4;column;G;4;area;0;0
31/12/2020;-9;column;H;9;area;0;0
31/12/2020;-6;column;I;6;area;0;0
31/12/2020;-2;column;J;2;marker;0;1
31/01/2021;-7;column;A;0,44;line;0;1
31/01/2021;10;column;B;10;area;0;0
31/01/2021;7;column;C;7;area;0;0
31/01/2021;-10;column;D;10;area;0;0
31/01/2021;-10;column;E;10;area;0;0
31/01/2021;4;column;F;4;area;0;0
31/01/2021;9;column;G;9;area;0;0
31/01/2021;-8;column;H;8;area;0;0
31/01/2021;10;column;I;10;area;0;0
31/01/2021;9;column;J;9;marker;0;1
28/02/2021;5;column;A;-0,512;line;0;1
28/02/2021;4;column;B;4;area;0;0
28/02/2021;-1;column;C;1;area;0;0
28/02/2021;5;column;D;5;area;0;0
28/02/2021;-4;column;E;4;area;0;0
28/02/2021;-5;column;F;5;area;0;0
28/02/2021;4;column;G;4;area;0;0
28/02/2021;2;column;H;2;area;0;0
28/02/2021;2;column;I;2;area;0;0
28/02/2021;-9;column;J;9;marker;0;1
31/03/2021;3;column;A;0,941;line;0;1
31/03/2021;3;column;B;3;area;0;0
31/03/2021;7;column;C;7;area;0;0
31/03/2021;1;column;D;1;area;0;0
31/03/2021;-10;column;E;10;area;0;0
31/03/2021;9;column;F;9;area;0;0
31/03/2021;-2;column;G;2;area;0;0
31/03/2021;-2;column;H;2;area;0;0
31/03/2021;-10;column;I;10;area;0;0
31/03/2021;-1;column;J;1;marker;0;1
