Variable;X;Y;Type;Name
V1;30/11/2019;-3;column;A
V1;30/11/2019;6;column;B
V1;30/11/2019;6;column;C
V1;30/11/2019;1;column;D
V1;30/11/2019;1;column;E
V1;30/11/2019;9;column;F
V1;30/11/2019;9;column;G
V1;30/11/2019;3;column;H
V1;30/11/2019;3;column;I
V1;31/12/2019;-5;column;A
V1;31/12/2019;9;column;B
V1;31/12/2019;-8;column;C
V1;31/12/2019;-6;column;D
V1;31/12/2019;-7;column;E
V1;31/12/2019;-9;column;F
V1;31/12/2019;9;column;G
V1;31/12/2019;5;column;H
V1;31/12/2019;6;column;I
V1;31/12/2019;8;column;J
V1;31/01/2020;-8;column;A
V1;31/01/2020;5;column;B
V1;31/01/2020;4;column;C
V1;31/01/2020;-4;column;D
V1;31/01/2020;-7;column;E
V1;31/01/2020;2;column;F
V1;31/01/2020;-5;column;G
V1;31/01/2020;-6;column;H
V1;31/01/2020;-7;column;I
V1;31/01/2020;-6;column;J
V1;29/02/2020;9;column;A
V1;29/02/2020;7;column;B
V1;29/02/2020;10;column;C
V1;29/02/2020;10;column;D
V1;29/02/2020;-7;column;E
V1;29/02/2020;3;column;F
V1;29/02/2020;-4;column;G
V1;29/02/2020;0;column;H
V1;29/02/2020;-2;column;I
V1;29/02/2020;-4;column;J
V1;31/03/2020;6;column;A
V1;31/03/2020;-10;column;B
V1;31/03/2020;-9;column;C
V1;31/03/2020;6;column;D
V1;31/03/2020;-8;column;E
V1;31/03/2020;6;column;F
V1;31/03/2020;6;column;G
V1;31/03/2020;-2;column;H
V1;31/03/2020;-9;column;I
V1;31/03/2020;9;column;J
V1;30/04/2020;4;column;A
V1;30/04/2020;0;column;B
V1;30/04/2020;-5;column;C
V1;30/04/2020;-8;column;D
V1;30/04/2020;2;column;E
V1;30/04/2020;3;column;F
V1;30/04/2020;4;column;G
V1;30/04/2020;-9;column;H
V1;30/04/2020;-6;column;I
V1;30/04/2020;-10;column;J
V1;31/05/2020;-5;column;A
V1;31/05/2020;0;column;B
V1;31/05/2020;-3;column;C
V1;31/05/2020;-10;column;D
V1;31/05/2020;0;column;E
V1;31/05/2020;10;column;F
V1;31/05/2020;6;column;G
V1;31/05/2020;-7;column;H
V1;31/05/2020;-9;column;I
V1;31/05/2020;6;column;J
V1;30/06/2020;5;column;A
V1;30/06/2020;-6;column;B
V1;30/06/2020;8;column;C
V1;30/06/2020;10;column;D
V1;30/06/2020;-6;column;E
V1;30/06/2020;-6;column;F
V1;30/06/2020;2;column;G
V1;30/06/2020;5;column;H
V1;30/06/2020;-10;column;I
V1;30/06/2020;-6;column;J
